name,id,gender,level,sign,birthday,following,follower
二二酸酸,106685726,保密,6,想把看过的每一本好书都画成视频分享给你:D / 北大在读 / 微博同名 / 粉丝Q群1135549227 / 商务qq1079417902,,573,1298760
EdmundDZhang,433351,男,6,嘿! 我的B站直播: live.bilibili.com/5050,10-05,52,3102383
文武俩兄弟,281284373,保密,6,其他平台（寡人）或（文武俩兄弟）合作：ccbbq02,11-10,94,854712
hanser,11073,女,6,VirtuaReal Star成员，澡后挖耳朵，湿湿一大坨，看到无关刷我的烦请举报 请勿争吵（lidesen@bilibili.com,05-15,50,2907208
影视飓风,946974,保密,6,无限进步！微博@影视飓风MediaStorm｜商务合作请联系WX：ysjfBD,,413,3554741
华农兄弟,250858633,保密,6,实拍农村美食美景，有趣好玩新鲜事！合作咨询 xy860086 ,,27,6484881
LPL战术小黑板,594534726,男,6,起标题困难户，当晚复盘第二天肝后期，珍惜up用头发换来的每个视频。商务合作VX：13524186598,09-27,106,965491
papi家的大小咪,231048690,保密,6,全宇宙最可爱的咪，不接受反驳。商业合作VX：13031188440，请标明【大小咪合作】。,03-10,5,933897
水一大魔王,1950209,保密,6,我只喜欢那些喜欢我的人。商务联系：Tm23203,01-22,6,1557660
HOLA小测佬,406636263,保密,6,我把宝藏都放在我的粉丝列表里了！ 商务合作V：yyds956108,,77,803192
恋としろkoishiro,401654598,保密,5,"音游区arc/mai/pjsk/phi/cy2 
魔方区333/444/555/666/777 
追番的一般路过高中生",01-01,219,918
韭菜实验室,329519036,保密,6,不想当韭菜？踩坑我们来！商务合作+V：ericteam,,33,1432118
二喵的饭,29329085,女,6,每周一更！每周一播！,09-17,155,4301596
大庆赶海,524704055,男,6,记录海边，分享大海乐趣,01-01,1,2626417
良田田田,480959917,保密,5,"咱先把学校里几千个女生拍完
没更新就是在上课
不要催
舌侧牙套在矫正，口齿不太清",,9,189608
麟宣森,52190805,男,6,合作邮箱：1276798016@qq.com,08-03,303,1577391
九冢嵬,33729931,保密,6,"QQ群
15岁少女养老群（已满）
二群654572349（少女诈尸）
三群1107808870（少女不在）
商务合作QQ1292720869",09-28,376,528092
俄餐美学,2077889889,保密,6,大家好，我们是来自莫斯科的美食拍摄团队，希望大家喜欢我们的视频,01-01,11,236590
建筑姬Ling,111927934,保密,6,超新星团队成员 商务合作：apuapu01,01-01,96,746491
科幻视界,25073738,保密,6,我三体电影又回来啦！！！,,4,174257
香菇滑鸡_,28278455,保密,6,爱玩游戏，爱看鬼畜的沙雕UP，投稿邮箱：1272346211@qq.com（备注B站ID）。合作Q：1272346211,11-05,97,445516
Meetfood觅食,447317111,男,6,海外美食测评，美食的背后是文化和故事,05-29,39,1148391
阿凯不想在犯Der了,1162869071,男,5,恳求自己别在傻逼了行不行？,05-01,18,1009
贤宝宝Baby,3957971,保密,6,微博:是贤宝宝本人  合作邮箱:2411507205@qq.com,,129,5190333
